[Tue Oct 23 20:08:19.597343 2018] [:error] [pid 22388] [client 107.150.59.98:46298] PHP Fatal error:  Uncaught RuntimeException: Directory name must not be empty. in /home/charles/bondecampe/zip.php:41\nStack trace:\n#0 /home/charles/bondecampe/zip.php(41): RecursiveDirectoryIterator->__construct('')\n#1 {main}\n  thrown in /home/charles/bondecampe/zip.php on line 41
[Tue Oct 23 20:08:19.597498 2018] [:error] [pid 22388] [client 107.150.59.98:46298] PHP Warning:  Unknown: Cannot destroy the zip context: Can't remove file: No such file or directory in Unknown on line 0
[Wed Oct 24 02:05:36.471770 2018] [:error] [pid 23600] [client 62.210.157.10:62481] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Wed Oct 24 03:42:37.080012 2018] [:error] [pid 23600] [client 207.46.13.19:10191] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Wed Oct 24 03:42:37.080728 2018] [:error] [pid 23600] [client 207.46.13.19:10191] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Wed Oct 24 03:42:37.080934 2018] [:error] [pid 23600] [client 207.46.13.19:10191] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Wed Oct 24 03:43:01.646880 2018] [:error] [pid 20837] [client 178.154.171.53:39260] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Wed Oct 24 03:43:01.647869 2018] [:error] [pid 20837] [client 178.154.171.53:39260] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Wed Oct 24 03:43:01.648082 2018] [:error] [pid 20837] [client 178.154.171.53:39260] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Wed Oct 24 07:05:44.184481 2018] [:error] [pid 28548] [client 148.251.195.14:47666] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Wed Oct 24 07:05:44.186315 2018] [:error] [pid 28548] [client 148.251.195.14:47666] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Wed Oct 24 07:05:44.186542 2018] [:error] [pid 28548] [client 148.251.195.14:47666] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Wed Oct 24 10:04:35.452820 2018] [:error] [pid 28544] [client 54.36.148.16:33252] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Wed Oct 24 10:04:35.453712 2018] [:error] [pid 28544] [client 54.36.148.16:33252] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Wed Oct 24 10:04:35.453925 2018] [:error] [pid 28544] [client 54.36.148.16:33252] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Wed Oct 24 17:32:08.276953 2018] [:error] [pid 32420] [client 82.240.205.105:57077] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://lde.5tfu.org/
[Wed Oct 24 17:33:54.112152 2018] [:error] [pid 32423] [client 82.240.205.105:57083] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/album/2018-Exemple.php
[Wed Oct 24 17:33:57.151342 2018] [:error] [pid 32423] [client 82.240.205.105:57083] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/
[Wed Oct 24 17:33:57.151981 2018] [:error] [pid 32423] [client 82.240.205.105:57083] PHP Notice:  Undefined variable: first in /home/charles/bondecampe/index.php on line 215, referer: http://bondecampe.5tfu.org/
[Wed Oct 24 17:34:07.621508 2018] [:error] [pid 32424] [client 82.240.205.105:57086] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://lde.5tfu.org/
